2025-09-06 09:35:38 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:35:42 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:35:42 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'TaskManager' object has no attribute 'start_concurrent_manager'
2025-09-06 09:36:27 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:36:27 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:36:27 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:36:27 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:36:27 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:36:27 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:36:27 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:36:31 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:36:31 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'MetricsCollector' object has no attribute 'record_gauge'
2025-09-06 09:37:05 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:37:05 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'MetricsCollector' object has no attribute 'record_gauge'
2025-09-06 09:37:14 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:37:14 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:37:14 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:37:14 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:37:15 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:37:15 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:37:15 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:37:17 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:37:17 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'AutomationController' object has no attribute 'get_available_tasks'
2025-09-06 09:37:48 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:37:48 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:37:48 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:37:48 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:37:48 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:37:48 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:37:48 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:38:02 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:71 - 用户点击开始自动化
2025-09-06 09:38:02 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:125 - 启动自动化处理失败: 'AutomationController' object has no attribute 'get_available_tasks'
2025-09-06 09:42:51 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:42:51 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:42:51 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:42:51 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:42:52 | INFO     | src.ui.main_window.main_window_mvp:__init__:46 - 监控系统已启动
2025-09-06 09:42:52 | INFO     | src.ui.main_window.main_window_mvp:__init__:51 - 主窗口MVP初始化完成
2025-09-06 09:42:52 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-06 09:53:51 | INFO     | __main__:main:71 - 应用程序启动
2025-09-06 09:53:51 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-06 09:53:51 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-06 09:53:51 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-06 09:53:51 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-06 09:53:51 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-06 09:53:52 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:30:11 | INFO     | __main__:main:71 - 应用程序启动
2025-09-07 23:30:11 | INFO     | src.core.service_locator:initialize_services:115 - 开始初始化服务容器
2025-09-07 23:30:11 | INFO     | src.core.service_locator:initialize_services:130 - 服务容器初始化完成
2025-09-07 23:30:11 | INFO     | __main__:main:84 - 依赖注入容器初始化完成
2025-09-07 23:30:12 | INFO     | src.ui.main_window.main_window_mvp:__init__:62 - 监控系统已启动
2025-09-07 23:30:12 | INFO     | src.ui.main_window.main_window_mvp:__init__:67 - 主窗口MVP初始化完成
2025-09-07 23:30:12 | INFO     | __main__:main:93 - 主窗口已显示
2025-09-07 23:31:25 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:31:25 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
2025-09-07 23:32:26 | INFO     | src.ui.main_window.main_window_mvp:on_start_automation:87 - 用户点击开始自动化
2025-09-07 23:32:26 | ERROR    | src.ui.main_window.main_window_mvp:on_start_automation:141 - 启动自动化处理失败: 'str' object has no attribute 'name'
